total dist. compute T, avg. T per iter
2.451412, 0.612853
2.663001, 0.665750
2.515787, 0.503157
3.342832, 0.668566
2.281593, 0.570398
4.052294, 0.810459
3.474673, 0.868668
2.465873, 0.616468
2.370518, 0.592630
2.723790, 0.680947
4.147874, 0.829575
3.021659, 0.755415
2.917059, 0.583412
2.336562, 0.584141
2.295226, 0.573807
2.673685, 0.534737
5.677897, 1.135579
5.224412, 1.044882
4.628629, 0.925726
3.019812, 0.603962
2.953421, 0.590684
3.225665, 0.645133
2.318258, 0.579565
2.478489, 0.495698
5.838175, 1.167635
2.580055, 0.645014
2.537379, 0.634345
2.425510, 0.606378
2.502228, 0.500446
3.431231, 0.686246
3.838085, 0.959521
6.154398, 1.230880
3.403677, 0.850919
3.752122, 0.750424
2.928682, 0.732170
3.847291, 0.769458
7.648502, 1.912125
