total dist. compute T, avg. T per iter
0.188129, 0.047032
0.176572, 0.044143
0.175771, 0.043943
0.177245, 0.044311
0.217206, 0.043441
0.264979, 0.044163
0.208916, 0.041783
0.178513, 0.044628
0.208520, 0.041704
0.219689, 0.043938
0.210850, 0.042170
0.214638, 0.042928
0.137767, 0.045922
0.144729, 0.048243
0.139571, 0.046524
0.137015, 0.045672
0.176886, 0.044221
0.176722, 0.044181
0.142117, 0.047372
0.139136, 0.046379
0.242138, 0.040356
0.172548, 0.043137
0.184099, 0.046025
0.256669, 0.042778
0.174526, 0.043631
0.207231, 0.041446
0.205228, 0.041046
0.211432, 0.042286
0.246672, 0.041112
0.205443, 0.041089
0.179327, 0.044832
0.171299, 0.042825
0.178929, 0.044732
0.177742, 0.044435
0.210321, 0.042064
0.179034, 0.044758
0.170601, 0.042650
0.206553, 0.041311
0.210789, 0.042158
0.204211, 0.040842
0.171583, 0.042896
0.241925, 0.040321
0.208496, 0.041699
0.213243, 0.042649
0.178524, 0.044631
0.211538, 0.042308
0.204019, 0.040804
0.207532, 0.041506
0.203527, 0.040705
0.143521, 0.047840
0.145013, 0.048338
0.146619, 0.048873
0.218380, 0.043676
0.174220, 0.043555
0.181425, 0.045356
0.211990, 0.042398
0.187108, 0.046777
0.168358, 0.042089
0.167601, 0.041900
0.180470, 0.045117
0.173145, 0.043286
0.220507, 0.044101
0.177342, 0.044336
0.171428, 0.042857
0.174380, 0.043595
0.200882, 0.040176
0.208596, 0.041719
0.216487, 0.043297
0.182041, 0.045510
0.174994, 0.043748
0.210647, 0.042129
0.178538, 0.044634
0.165243, 0.041311
0.205549, 0.041110
0.134880, 0.044960
0.145574, 0.048525
0.152955, 0.050985
0.184408, 0.046102
0.267461, 0.044577
0.273150, 0.045525
0.223083, 0.044617
0.148857, 0.049619
0.194068, 0.048517
0.190984, 0.047746
0.260549, 0.043425
0.214836, 0.042967
0.241643, 0.040274
0.338010, 0.037557
0.149450, 0.049817
0.180957, 0.045239
0.178979, 0.044745
0.246420, 0.041070
0.176658, 0.044165
0.171670, 0.042918
0.139497, 0.046499
0.137736, 0.045912
0.174397, 0.043599
0.165855, 0.041464
0.213271, 0.042654
0.204912, 0.040982
