total dist. compute T, avg. T per iter
0.381952, 0.063659
0.215042, 0.053760
0.185959, 0.046490
0.244465, 0.048893
0.163687, 0.054562
0.163959, 0.054653
0.243471, 0.060868
0.250051, 0.050010
0.287912, 0.057582
0.293618, 0.073404
0.215333, 0.053833
0.364598, 0.091150
0.373488, 0.053355
0.317572, 0.052929
0.165225, 0.055075
0.317672, 0.045382
0.288955, 0.048159
0.336755, 0.056126
0.231532, 0.057883
0.230713, 0.057678
0.216312, 0.054078
0.168779, 0.056260
0.142329, 0.047443
0.331349, 0.082837
0.266233, 0.053247
0.234582, 0.058646
0.199547, 0.049887
0.205251, 0.051313
0.274658, 0.054932
0.247439, 0.061860
0.290084, 0.048347
0.265848, 0.053170
0.233241, 0.058310
0.189201, 0.047300
0.240842, 0.060211
0.164833, 0.054944
0.186188, 0.062063
0.244338, 0.061085
0.339491, 0.056582
0.235824, 0.058956
0.169653, 0.056551
0.223271, 0.055818
0.316120, 0.052687
0.257918, 0.064479
0.254390, 0.063597
0.339965, 0.067993
0.259495, 0.051899
0.260234, 0.052047
0.220361, 0.055090
0.297193, 0.059439
0.200629, 0.050157
0.215634, 0.043127
0.322862, 0.064572
0.264180, 0.052836
0.262082, 0.087361
0.175122, 0.058374
0.234914, 0.058729
0.239567, 0.059892
0.203726, 0.050931
0.238202, 0.059550
0.206754, 0.051688
0.207445, 0.051861
0.170728, 0.056909
0.152439, 0.050813
0.224656, 0.074885
0.181201, 0.060400
0.306353, 0.061271
0.236252, 0.059063
0.232810, 0.058203
0.208465, 0.052116
0.179364, 0.044841
0.393383, 0.056198
0.169762, 0.056587
0.283939, 0.056788
0.287361, 0.057472
0.317534, 0.063507
0.224373, 0.056093
0.221316, 0.055329
0.349775, 0.043722
0.268753, 0.053751
0.383002, 0.076600
0.265127, 0.053025
0.217101, 0.072367
0.289680, 0.057936
0.225563, 0.056391
0.376458, 0.075292
0.251339, 0.050268
0.345124, 0.049303
0.284902, 0.056980
0.314725, 0.052454
0.303876, 0.060775
0.249124, 0.062281
0.240244, 0.060061
0.324639, 0.046377
0.277523, 0.046254
0.244519, 0.061130
0.221586, 0.055397
0.255870, 0.051174
0.211667, 0.052917
0.199375, 0.049844
