[0] dist. T,col0022331_mean,col0022331_var,col0022331_min,col0022331_max
[0] dist. T,0.01619473469387755,1.1151275907312929e-05,0.012023,0.02935
[1] dist. T,0.014473895833333333,8.558571457003544e-06,0.012252,0.030876
[2] dist. T,0.014074183673469388,2.1616003197278933e-06,0.012145,0.021065
[3] dist. T,0.014210448979591837,2.564838502551023e-06,0.012289,0.020505
[4] dist. T,0.014793846153846154,3.7841490809716646e-06,0.011862,0.021539
[5] dist. T,0.014673458333333333,3.4917883460144945e-06,0.012425,0.020589
[6] dist. T,0.014186461538461538,2.2067021025641017e-06,0.012852,0.018309
[7] dist. T,0.015311333333333335,4.7564633333333223e-07,0.014869,0.016106
