[4], iter. T, 0.180889, dist. T, 0.151204, 
[5], iter. T, 0.104940, dist. T, 0.082706, 
[6], iter. T, 0.086766, dist. T, 0.068382, 
[0], iter. T, 0.398118, dist. T, 0.388097, 
[1], iter. T, 0.134942, dist. T, 0.046129, 
[2], iter. T, 0.200684, dist. T, 0.144828, 
[3], iter. T, 0.875894, dist. T, 0.838782, 
[4], iter. T, 0.294440, dist. T, 0.266676, 
[5], iter. T, 0.110235, dist. T, 0.087305, 
[6], iter. T, 0.556805, dist. T, 0.534623, 
[0], iter. T, 0.099520, dist. T, 0.088517, 
[1], iter. T, 0.567339, dist. T, 0.334949, 
[2], iter. T, 0.149290, dist. T, 0.080048, 
[3], iter. T, 0.165415, dist. T, 0.123181, 
[4], iter. T, 0.173755, dist. T, 0.141824, 
[5], iter. T, 0.520755, dist. T, 0.495065, 
[6], iter. T, 0.101143, dist. T, 0.080985, 
[0], iter. T, 0.101705, dist. T, 0.092106, 
[1], iter. T, 0.284940, dist. T, 0.143175, 
[2], iter. T, 0.183019, dist. T, 0.123111, 
[3], iter. T, 0.210626, dist. T, 0.162407, 
[4], iter. T, 0.132170, dist. T, 0.098606, 
[5], iter. T, 0.139321, dist. T, 0.113105, 
[6], iter. T, 0.070261, dist. T, 0.048153, 
[0], iter. T, 0.262703, dist. T, 0.252687, 
[1], iter. T, 0.185720, dist. T, 0.060448, 
[2], iter. T, 0.523577, dist. T, 0.466070, 
[3], iter. T, 0.091115, dist. T, 0.056922, 
[4], iter. T, 0.087622, dist. T, 0.061202, 
[5], iter. T, 0.160568, dist. T, 0.137844, 
[6], iter. T, 0.136320, dist. T, 0.115472, 
[0], iter. T, 0.246146, dist. T, 0.236252, 
[1], iter. T, 0.306007, dist. T, 0.160367, 
[2], iter. T, 0.535866, dist. T, 0.458306, 
[3], iter. T, 0.192199, dist. T, 0.150744, 
[4], iter. T, 0.198301, dist. T, 0.161040, 
[5], iter. T, 0.126543, dist. T, 0.098159, 
[6], iter. T, 0.092840, dist. T, 0.069885, 
[0], iter. T, 0.195693, dist. T, 0.185928, 
[1], iter. T, 0.378242, dist. T, 0.311831, 
[2], iter. T, 0.251006, dist. T, 0.208886, 
[3], iter. T, 0.119451, dist. T, 0.089681, 
[4], iter. T, 0.239995, dist. T, 0.212877, 
[5], iter. T, 0.162106, dist. T, 0.132324, 
[0], iter. T, 0.072398, dist. T, 0.062554, 
[1], iter. T, 0.667564, dist. T, 0.437344, 
[2], iter. T, 0.156595, dist. T, 0.075584, 
[3], iter. T, 0.128717, dist. T, 0.084249, 
[4], iter. T, 0.086818, dist. T, 0.054805, 
[5], iter. T, 0.521309, dist. T, 0.491915, 
[6], iter. T, 0.112816, dist. T, 0.087916, 
[7], iter. T, 0.304047, dist. T, 0.275186, 
[8], iter. T, 0.102307, dist. T, 0.082238, 
[9], iter. T, 0.071170, dist. T, 0.052352, 
[0], iter. T, 0.062215, dist. T, 0.052845, 
[1], iter. T, 0.504549, dist. T, 0.408317, 
[2], iter. T, 0.667471, dist. T, 0.618364, 
[3], iter. T, 0.175752, dist. T, 0.142320, 
[4], iter. T, 0.131132, dist. T, 0.105082, 
[5], iter. T, 0.071476, dist. T, 0.048701, 
[6], iter. T, 0.068141, dist. T, 0.049395, 
[0], iter. T, 0.200454, dist. T, 0.190708, 
[1], iter. T, 0.215031, dist. T, 0.125795, 
[2], iter. T, 0.343705, dist. T, 0.294068, 
[3], iter. T, 0.131717, dist. T, 0.097943, 
[4], iter. T, 0.119670, dist. T, 0.093476, 
[5], iter. T, 0.084837, dist. T, 0.063736, 
[6], iter. T, 0.155176, dist. T, 0.130804, 
[0], iter. T, 0.061632, dist. T, 0.052321, 
[1], iter. T, 0.253537, dist. T, 0.173092, 
[2], iter. T, 0.106176, dist. T, 0.060209, 
[3], iter. T, 0.120015, dist. T, 0.086217, 
[4], iter. T, 0.082267, dist. T, 0.055508, 
[5], iter. T, 0.127754, dist. T, 0.098340, 
[6], iter. T, 0.198664, dist. T, 0.180901, 
[0], iter. T, 0.168470, dist. T, 0.158654, 
[1], iter. T, 0.237945, dist. T, 0.069882, 
[2], iter. T, 0.172986, dist. T, 0.100904, 
[3], iter. T, 0.504358, dist. T, 0.461567, 
[4], iter. T, 0.539535, dist. T, 0.508424, 
[5], iter. T, 0.575021, dist. T, 0.551057, 
[6], iter. T, 0.077756, dist. T, 0.058452, 
[0], iter. T, 0.090052, dist. T, 0.078916, 
