[4], it. T, 0.348096, dist. T, 0.171345
[5], it. T, 0.372060, dist. T, 0.213035
[6], it. T, 0.315713, dist. T, 0.141289
[0], it. T, 0.406714, dist. T, 0.270259
[1], it. T, 0.699854, dist. T, 0.386598
[2], it. T, 0.390631, dist. T, 0.187875
[3], it. T, 0.655633, dist. T, 0.468489
[4], it. T, 0.362321, dist. T, 0.197034
[5], it. T, 0.463992, dist. T, 0.276532
[6], it. T, 0.236177, dist. T, 0.047033
[0], it. T, 0.195943, dist. T, 0.053116
[1], it. T, 0.655141, dist. T, 0.395000
[2], it. T, 0.439607, dist. T, 0.217400
[3], it. T, 0.239172, dist. T, 0.048509
[4], it. T, 0.221798, dist. T, 0.048330
[5], it. T, 0.223302, dist. T, 0.047561
[6], it. T, 0.222106, dist. T, 0.047683
[0], it. T, 0.197465, dist. T, 0.051579
[1], it. T, 1.483075, dist. T, 1.193649
[2], it. T, 2.042606, dist. T, 1.809684
[3], it. T, 1.118013, dist. T, 0.909428
[4], it. T, 1.328598, dist. T, 1.151330
[5], it. T, 0.433775, dist. T, 0.230063
[0], it. T, 0.594272, dist. T, 0.414182
[1], it. T, 1.041505, dist. T, 0.662223
[2], it. T, 0.635990, dist. T, 0.413412
[3], it. T, 0.721419, dist. T, 0.551310
[4], it. T, 0.424048, dist. T, 0.235491
[5], it. T, 0.345550, dist. T, 0.189180
[6], it. T, 0.246732, dist. T, 0.077398
[0], it. T, 0.238885, dist. T, 0.106022
[1], it. T, 0.481570, dist. T, 0.111011
[2], it. T, 1.594545, dist. T, 1.377565
[3], it. T, 0.484928, dist. T, 0.306489
[4], it. T, 0.782806, dist. T, 0.595278
[5], it. T, 0.709939, dist. T, 0.554232
[6], it. T, 0.322085, dist. T, 0.103240
[0], it. T, 0.217670, dist. T, 0.060472
[1], it. T, 2.583150, dist. T, 2.202492
[2], it. T, 0.565951, dist. T, 0.353111
[3], it. T, 0.540528, dist. T, 0.330549
[4], it. T, 0.420285, dist. T, 0.224659
[5], it. T, 0.497702, dist. T, 0.275107
[6], it. T, 0.485039, dist. T, 0.309994
[0], it. T, 0.444976, dist. T, 0.282340
[1], it. T, 0.396731, dist. T, 0.150434
[2], it. T, 0.396147, dist. T, 0.214741
[3], it. T, 0.514184, dist. T, 0.330008
[4], it. T, 0.612920, dist. T, 0.434848
[5], it. T, 0.394406, dist. T, 0.245221
[0], it. T, 0.276243, dist. T, 0.096244
[1], it. T, 0.360615, dist. T, 0.078874
[2], it. T, 0.477569, dist. T, 0.301437
[3], it. T, 0.294340, dist. T, 0.055837
[4], it. T, 0.412743, dist. T, 0.242801
[5], it. T, 0.612232, dist. T, 0.433486
[6], it. T, 0.393390, dist. T, 0.221651
[0], it. T, 0.199740, dist. T, 0.051622
[1], it. T, 1.013278, dist. T, 0.631381
[2], it. T, 0.411425, dist. T, 0.166355
[3], it. T, 0.258132, dist. T, 0.051714
[4], it. T, 0.966341, dist. T, 0.806840
[5], it. T, 0.240837, dist. T, 0.048712
[0], it. T, 0.223716, dist. T, 0.078202
[1], it. T, 0.683915, dist. T, 0.379777
[2], it. T, 0.513014, dist. T, 0.297324
[3], it. T, 0.534434, dist. T, 0.332244
[4], it. T, 0.234721, dist. T, 0.046644
[5], it. T, 0.262443, dist. T, 0.089733
[6], it. T, 0.244921, dist. T, 0.062059
[0], it. T, 0.190313, dist. T, 0.052898
[1], it. T, 0.384721, dist. T, 0.121972
[2], it. T, 0.407713, dist. T, 0.203630
[3], it. T, 0.590288, dist. T, 0.416141
[4], it. T, 0.302359, dist. T, 0.054484
[5], it. T, 0.284441, dist. T, 0.077775
[0], it. T, 0.237544, dist. T, 0.107738
[1], it. T, 0.413555, dist. T, 0.149987
[2], it. T, 0.468494, dist. T, 0.290632
[3], it. T, 0.364442, dist. T, 0.127183
[4], it. T, 0.724390, dist. T, 0.554970
[5], it. T, 0.449205, dist. T, 0.295562
[0], it. T, 0.598163, dist. T, 0.464522
[1], it. T, 0.989945, dist. T, 0.649598
[2], it. T, 0.279647, dist. T, 0.049825
[3], it. T, 0.373518, dist. T, 0.211061
[4], it. T, 0.223399, dist. T, 0.048319
[5], it. T, 0.296799, dist. T, 0.115694
[6], it. T, 0.228152, dist. T, 0.051855
[0], it. T, 0.791009, dist. T, 0.593045
[1], it. T, 0.835385, dist. T, 0.537894
[2], it. T, 0.643660, dist. T, 0.443431
[3], it. T, 0.660693, dist. T, 0.496301
[4], it. T, 0.688844, dist. T, 0.503382
[5], it. T, 2.198814, dist. T, 1.954051
[0], it. T, 1.153244, dist. T, 1.014272
[1], it. T, 0.972053, dist. T, 0.610421
[2], it. T, 1.399058, dist. T, 1.165566
[3], it. T, 0.788014, dist. T, 0.595798
[4], it. T, 2.286657, dist. T, 2.104432
[5], it. T, 0.641318, dist. T, 0.444633
[6], it. T, 0.732294, dist. T, 0.586669
[0], it. T, 0.353416, dist. T, 0.227114
[1], it. T, 0.700084, dist. T, 0.177284
[2], it. T, 0.405887, dist. T, 0.111848
[3], it. T, 0.259405, dist. T, 0.047979
[4], it. T, 0.281888, dist. T, 0.068034
