[0] dist. T,col0060683_mean,col0060683_var,col0060683_min,col0060683_max
[0] dist. T,0.05452186868686869,2.43453320336013e-05,0.046907,0.073484
[1] dist. T,0.05394086,2.2273383495353534e-05,0.047206,0.087272
[2] dist. T,0.05478432,1.9963878219797965e-05,0.047301,0.071593
[3] dist. T,0.05567939,2.0008861492828286e-05,0.049912,0.080928
[4] dist. T,0.05569541,1.7162665032222226e-05,0.047431,0.069022
[5] dist. T,0.05629805,2.126227808838384e-05,0.047838,0.074978
[6] dist. T,0.05597785714285714,1.5503292e-05,0.048368,0.065737
[7] dist. T,0.052077,,0.052077,0.052077
